Day,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2024-03-21,"Uncategorized","Eggs, Cooked","3.00 large",232.50,0.00,0.00,111.93,0.10,0.77,0.10,2.10,0.18,1.67,66.00,224.00,0.00,130.50,1.55,0.45,75.00,0.02,1.79,15.00,0.04,258.00,189.00,46.20,186.00,1.58,1.68,0.00,0.00,1.68,0.00,1.67,15.92,559.50,6.12,2.12,4.90,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,18.87,0.91,0.23,0.77,1.15,"Dairy and Egg Products"
2024-03-21,"Uncategorized","Argentina Corned Beef","1.00 can",180.00,,,,,,,,,,,,,,,,,,,,,,,,520.00,,,2.00,,0.00,,,10.00,30.00,,,6.00,0.00,,,,,,,,,,12.00,,,,,""
2024-03-21,"Uncategorized","Quaker, Instant Oatmeal, Chocolate","32.00 g",129.94,,,,,,,,,,,,,,,,,,1.16,28.12,,,,,107.64,,24.24,2.72,,7.76,,21.53,2.42,0.00,,,0.48,0.00,,,,,,,,,,3.88,,,,,"Breakfast Cereals"
2024-03-21,"Uncategorized","Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0.00,0.00,88.39,0.04,0.09,0.78,0.39,0.43,0.00,23.60,3.79,10.27,0.00,0.15,0.59,5.90,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,0.00,23.87,0.39,0.00,0.04,0.09,0.13,0.00,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,"Fruits and Fruit Juices"
2024-03-21,"Uncategorized","C-Lium Fibre","1.00 Pack",30.00,,,,,,,,,,,,,,,,,,,,,,,,30.00,,7.00,5.00,,2.00,,2.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,""
2024-03-21,"Uncategorized","Gardenia, High Fiber Wheat Raisin Loaf","2.00 Slice",226.00,,,,1.80,2.11,19.60,,,,168.00,360.00,0.00,,,,100.00,,3.60,,,,,,254.00,,44.00,18.00,,16.00,,26.00,2.00,0.00,,,0.00,0.00,,,,,,,,,,8.00,,,,,"Baked Products"
2024-03-21,"Uncategorized","Peanut Butter, Regular, Salted","1.00 tbsp",94.98,0.00,0.00,0.18,0.02,0.03,2.77,0.18,0.06,0.00,15.64,0.00,0.00,0.00,0.87,0.05,8.06,0.09,0.30,31.12,0.27,63.37,105.46,3.26,68.69,0.49,3.66,1.02,0.57,1.69,1.37,2.61,7.97,0.00,4.95,1.58,1.36,0.00,0.03,1.58,0.04,0.11,0.15,0.30,0.15,0.05,0.24,3.87,0.13,0.04,0.17,0.18,"Fats and Oils"
2024-03-22,"Uncategorized","Hosen Baked Beans","1.00 can",226.58,,,,,,,,,,,,,,,,,,,,,,,,1200.00,,39.90,14.70,,10.50,,25.20,0.00,0.00,,,0.00,0.00,,,,,,,,,,17.10,,,,,""
2024-03-22,"Uncategorized","Eggs, Cooked","3.00 large",232.50,0.00,0.00,111.93,0.10,0.77,0.10,2.10,0.18,1.67,66.00,224.00,0.00,130.50,1.55,0.45,75.00,0.02,1.79,15.00,0.04,258.00,189.00,46.20,186.00,1.58,1.68,0.00,0.00,1.68,0.00,1.67,15.92,559.50,6.12,2.12,4.90,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,18.87,0.91,0.23,0.77,1.15,"Dairy and Egg Products"
2024-03-22,"Uncategorized","Gardenia, High Fiber Wheat Raisin Loaf","1.00 Slice",113.00,,,,0.90,1.05,9.80,,,,84.00,180.00,0.00,,,,50.00,,1.80,,,,,,127.00,,22.00,9.00,,8.00,,13.00,1.00,0.00,,,0.00,0.00,,,,,,,,,,4.00,,,,,"Baked Products"
2024-03-22,"Uncategorized","Quaker, Instant Oatmeal, Chocolate","32.00 g",129.94,,,,,,,,,,,,,,,,,,1.16,28.12,,,,,107.64,,24.24,2.72,,7.76,,21.53,2.42,0.00,,,0.48,0.00,,,,,,,,,,3.88,,,,,"Breakfast Cereals"
2024-03-22,"Uncategorized","Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0.00,0.00,88.39,0.04,0.09,0.78,0.39,0.43,0.00,23.60,3.79,10.27,0.00,0.15,0.59,5.90,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,0.00,23.87,0.39,0.00,0.04,0.09,0.13,0.00,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,"Fruits and Fruit Juices"
2024-03-22,"Uncategorized","Gardenia, High Fiber Wheat Raisin Loaf","1.00 Slice",113.00,,,,0.90,1.05,9.80,,,,84.00,180.00,0.00,,,,50.00,,1.80,,,,,,127.00,,22.00,9.00,,8.00,,13.00,1.00,0.00,,,0.00,0.00,,,,,,,,,,4.00,,,,,"Baked Products"
2024-03-22,"Uncategorized","Chicken Nuggets or Sticks, Store Bought","3.00 nugget",148.87,0.00,0.00,23.03,0.09,0.09,2.67,0.30,0.11,0.08,20.54,3.69,0.00,1.15,1.13,7.41,5.03,0.03,0.72,7.85,0.07,55.12,66.15,10.36,285.13,0.56,7.17,0.29,6.86,0.03,0.00,6.88,9.77,20.53,3.64,4.16,1.44,0.09,0.49,3.62,0.11,0.23,0.39,0.57,0.59,0.20,0.31,7.64,0.31,0.09,0.25,0.37,"Poultry Products"
2024-03-22,"Uncategorized","Pancake, Plain or Buttermilk, Homemade","3.00 each - 4"" diameter",297.93,0.00,0.00,71.07,0.36,0.40,2.49,0.62,0.06,0.50,94.08,57.84,0.12,43.78,0.93,15.04,353.45,0.07,2.62,18.54,0.29,227.41,149.98,23.70,918.02,0.75,39.80,1.26,31.24,7.44,4.10,38.54,11.76,66.13,2.80,4.66,3.81,0.10,0.52,4.08,0.15,0.20,0.36,0.66,0.41,0.19,0.43,8.30,0.30,0.10,0.31,0.43,"Baked Products"
2024-03-23,"Uncategorized","Eggs, Cooked","3.00 large",232.50,0.00,0.00,111.93,0.10,0.77,0.10,2.10,0.18,1.67,66.00,224.00,0.00,130.50,1.55,0.45,75.00,0.02,1.79,15.00,0.04,258.00,189.00,46.20,186.00,1.58,1.68,0.00,0.00,1.68,0.00,1.67,15.92,559.50,6.12,2.12,4.90,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,18.87,0.91,0.23,0.77,1.15,"Dairy and Egg Products"
